,Comentarios,Idioma,TweetPre
535,estar bien preocupado por que pasa guatemala jueza aidan prioridad este momento,es,bien preocupado pasa guatemala jueza aifan prioridad momento
537,impresionante increible mas que una monumental obra arte una triste cruda realidad,es,impresionante increible monumental obra arte triste cruda realidad
539,kiero hablar con karen estot triste,es,kiero hablar keren estot triste
542,estes triste hermosa yaaa cambiate nombre,es,estes triste hermosa yaaa cambiate nombre
543,poco que visto cae bien virginia solo esto puedo decir que triste poco nulo interes secret con que disfruto del anonimo toda life,es,visto bien virginia solo puedo decir triste nulo interes secret disfruto anonimo toda life
544,hoy super cansada,es,super cansada
548,ismael serrano busca canción mas triste del mundo,es,ismael serrano busca cancion triste mundo
551,pelicula encanto hizo llorar todo bien casa isra,es,pelicula encanto hizo llorar bien casa iskra
553,soy bien pinche desesperado,es,bien pinche desesperado
554,jajaja esta hora estoy tan cansada que pongo hinchada que linda palabra desuso esa hinchada todavia falta cocinarle jajaja los adolescentes,es,jajaja hora cansada pongo chinchuda linda palabra desuso chinchuda todavia falta cocinarle jajaja adolescentes
556,siento muy mal tengo ganas llorar pero dije que haria profe ingles dijo que contaremos que hicimos vacaciones como cuento que enamore que puedo tener fer deja llorar seguro acuerda,es,siento ganas llorar dije haria profe ingles dijo contaramos hicimos vacaciones cuento enamore puedo tener deja llorar seguro acuerda
559,hablen estoy triste,es,hablen triste
561,siento vacio pecho jing actualiza estoy sacando las cejas,es,siento vacio pecho jisung actualiza sacando cejas
562,miraste espejo pusiste jajaja llorar sip tienes razon das pena,es,miraste espejo pusiste jajaja llorar razon pena
564,lei jorge reclama jajaja aeromexico pffff ando cansada,es,jorge reclama jajaja aeromexico pfff ando cansada
565,hago stream mas improvisado vida podia dormir estaba borde del colapso nervioso stream also gracias jajaja todos los que pasaron rato diverti bastante aunque taba cansado,es,hago stream improvisado vida podium dormir borde colapso nervioso stream also gracias jajaja pasaron rato diverti bastante aunque taba cansado
567,supuestamente segun google dice que tercer lunes enero cada ano dice que dia mas triste del ano llaman blue monda pero todos andan utilizando termino como toda vida nunca vida habia escuchado,es,supuestamente segun google dice tercer lunes enero cada dice triste llaman blue monday andan utilizando termino toda vida nunca vida habia escuchado
568,estoy triste rio concierto esta lleno pero estoy vacio,es,triste concierto lleno vacio
573,tenido dia para llorar tratado dar todo por empresa alguna manera mensajito jefa validando trabajo hacen sentir algo mejor,es,llorar tratado empresa alguna manera mensajito jefa validando trabajo hacen sentir mejor
577,enamorate enamorate aunque solo sea por volver jajaja sonreir volver jajaja sentirte vivo aunque intento vuelvas jajaja tropezar jajaja caer jajaja llorar enamorate porque apetece porque quieres porque algunas veces necesario cometer una locura aunque tengas miedo,es,enamorate enamorate aunque solo volver jajaja sonreir volver jajaja sentirte vivo aunque intento vuelvas jajaja tropezar jajaja caer jajaja llorar enamorate apetece quieres veces necesario cometer locura aunque miedo
578,descansa duerme mucho porque comida insomnio,es,descansa duerme covid insomnio
581,estoy borde llorar que duele espalda,es,borde llorar duele espalda
582,basta que triste,es,basta triste
583,mama dijo que jajaja regalar otro cachorro por que voy jajaja llorar mama puedo tener perro por cada relación fallida que tenga,es,mama dijo jajaja regalar cachorro jajaja llorar mama puedo tener perro cada relacion fallida
584,amigo preocupado sabe que hubiesen besos por medio probabilidad infectarse mayor jajaja,es,amigo preocupado sabe besos medio probabilidad infectarse mayor jajaja
586,ver jajaja abuelo triste destruye mil pedazos,es,jajaja abuelo triste destruye pedazos
588,veo como que psicologa del hospital que estuve dicho que vaya jajaja dar una charla sobre superación depresion tía con chavales mas,es,psicologa hospital dicho vaya jajaja charla superacion depresion chavales
590,mata comida alergia jajaja matar ansiedad por saber comida alergia cada dias que escurre nariz,es,mata covid alergia jajaja matar ansiedad saber covid alergia cada dia escurre nariz
595,llorar hoy,es,llorar
596,cada vez que acuerdo que voy jajaja poder concierto harry dan unas inmensas ganas llorar,es,cada acuerdo jajaja poder concierto harry unas inmensas ganas llorar
598,momento ansiedad preocupación,es,momento ansiedad preocupacion
602,hola gaby hacia rato que leia estaba preocupada,es,hola gaby hacia rato leia preocupada
605,nose amiga estoy triste idea sea estoy bien todo todo genial todo correcto pero estoy mega triste,es,nose amifa etsoy triste idea bien genial correcto esyoy mega triste
608,tengo ganas nada agotada estoy,es,ganas agotada
610,como cambia todo dependiendo del estado animo cuando estoy feliz pasa algo malo siempre pienso que pasa nada tal intento ver desde punto vista positivo pero pasa algo estando triste viene todo abajo aunque sea una tonteria,es,cambium dependiendo animo feliz pasa malo siempre pienso pasa intento punto vista positivo pasa triste viene abajo aunque tonteria
611,estas triste puedo llegarte jajaja casa con pote helado,es,triste puedo llegarte jajaja casa pote helado
612,esto una excusa para experimentar con que sepa que tiene vigilado esta desesperado pero necedad tiene limites formula sera perfecta pero momento servido,es,excusa experimentar sepa vigilado desesperado necedad limites formula serum perfecta momento servido
613,proyecto decorador sea demostrado ser una persona buenos sentimientos preocupada por esta hablando mal sino todo contrario proyectado buena intención que este mejor,es,proyecto decorador demostrado persona buenos sentimientos preocupada hablando sino contrario proyectado buena intencion mejor
615,estoy cansada tantas cosas,es,cansada tantas cosas
618,han estoy cansado aun stream hecho quiero morir,es,cansado stream hecho quiero morir
619,compre delineador que era que queria puse triste,es,compre delinieador queria puse triste
620,esta semana sera mas feliz toda vida sera tan inolvidable que voy jajaja llorar tanta alegria amor que vas jajaja hacer todas las cosas siempre primera despacio vas jajaja abriendo como hacen las flores primavera,es,semana serum feliz toda vida serum inolvidable jajaja llorar tanta alegria amor jajaja hacer toda cosas siempre primera despacio jajaja abriendo hacen flores primavera
622,estoy muy cansada muy harta todo,es,cansada harta
624,jajaja marta han puesto triste video irrelevante que secretada,es,jajaja marta puesto triste video irrelevanta secretgala
625,quiero llorar ratito asi que vere lalala,es,quiero llorar ratito vere lalaland
627,dios que tan triste tiene que ser vida para que ponga mal porque enamoro sufro por personajes literarios porque rompen corazon encima nunca los voy jajaja poder conocer dejenme sola,es,dios triste vida ponga enamoro sufro personajes literarios rompen corazon encima nunca jajaja poder conocer dejenme sola
636,estoy muy nerviosa dios manana viene cagalera fijo,es,nerviosa dios manana viene cagalera fijo
638,quiero apuntarme programa iba pero pongo muy nerviosa delante las camaras sobretodo cuando tengo que hablar con gente ajena,es,quiero apuntarme programa ibai pongo nerviosa delante camaras sobretodo hablar gente ajena
640,como puede ser que este tan cansada diecinueve enero,es,puede cansada diecinueve enero
642,que estoy tranquila sin ansiedad cuando cuerpo reacciona haciendome crecer las unas sin que agrieten solas,es,tranquila ansiedad cuerpo reacciona haciendome crecer unas agrieten solas
643,quiero que bailemos,es,quiero bailemos
646,amigo transición que hay entre estas canciones tan hermosa que dan ganas llorar,es,amigo transicion canciones hermosa ganas llorar
650,basta voy jajaja llorar,es,basta jajaja llorar
653,hiciste llorar,es,hiciste llorar
656,voy jajaja llorar mientras escucho falling,es,jajaja llorar mientras escucho fall
658,literalmente cansada,es,literalmente cansada
659,dia comida estoy cansado,es,covid cansado
661,mala idea mia probarme uniforme del colegio ahora solo quiero llorar preferiria morirme antes tener utilizar esa cosa para colegio,es,mala idea probarme uniforme colegio ahora solo quiero llorar preferiria morirme tener utilizar cosa colegio
666,nada llorar jajaja dormir,es,llorar jajaja dormir
668,estoy depresivo quiero ver jajaja nadie,es,depresivo quiero jajaja nadie
670,pre capitulo euforia jules interesa jajaja tantos niveles hoy queria llorar pm,es,capitulo euphoria jules interpela jajaja tantos niveles queria llorar
671,estuve una semana mandando mails ingles antes tener una junta digo jajaja coordinadora algo que voy jajaja participar que ingles escrito mejor que hablado jajaja que dice soy hablo espanol siento que que habia preocupado demas pedo,es,semana mandando mail ingles tener junta digo jajaja coordinadora jajaja participar ingles escrito mejor hablado jajaja dice hablo espanol siento habia preocupado demas pedo
672,tocar instrumentos cantar salvado tantos ataques ansiedad,es,tocar instrumentos cantar salvado tantos ataques ansiedad
674,sea una rola triste pero siento not,es,rola triste siento
676,estoy muy triste,es,triste
680,horrible voy jajaja llorar,es,horrible jajaja llorar
682,quiero estar triste italia,es,quiero triste italia
684,parrilla hoy vacio entrada mollejas chinchulines salchichitas tapita asado merci chéri,es,parrillita vacio entrana mollejas chinchulines salchichitas tapita asado morci chori
685,quede sin amigos triste pero verdad,es,quede amigo triste verdad
689,cada nada los distribuidores suben los precios estoy cansado remarcar igual nada comparado con noviembre diciembre,es,cada distribuidores suben precios cansado remarcar igual comparado noviembre diciembre
690,quieres hablar depresion jajaja que avente anos mierda ponte verga senor,es,quieres hablar depresion jajaja avente ano mierda ponte verga senor
693,estoy por llorar porque rompieron dos unas,es,llorar rompieron unas
695,hoy dia demostro por mas onda que ponga quiere basurera jajaja hacer terminar con pantalla toda astillada telefono dan ganas hacerme bollito llorar que este dia siga,es,demostro onda ponga quiere basurear jajaja hacer terminar pantalla toda astillada telefono ganas hacerme bollito llorar siga
697,quieres llorar sin que nadie vea,es,quieres llorar nadie
702,tiempo llorar tengo,es,tiempo llorar
703,desde anoche que sentia inusualmente cansada hecho dormi bastante cual raro queria levantarme ahora resulta que estoy sintiendo que cierra garganta con poquito ardor,es,anoche sentia inusualmente cansada hecho dormi bastante raro queria levantarme ahora resulta cierra garganta poquito ardor
706,graciosisimo hacer manana presentaciones con cara mono drogadicto llorar por noche,es,graciosisimo hacer manana presentaciones cara mono drogadicto llorar noche
708,ahhhh macho salir jajaja meter rally los cuatros familia casi cura depresion,es,ahhh wacho salir jajaja meter rally cuatris familia casi cura depresion
709,senor haz milagro con esta taquicardia que tiene desesperada,es,senor milagro taquicardia desesperada
714,que cansado que estoy,es,cansado estoyyy
715,fue que recetaron para comida pero pude poner porque dolio aguja entraba puse jajaja llorar,es,recetaron covid pude poner dolio aguja entraba puse jajaja llorar
716,vocación sensibilidad trabajo equipo felicidad para ambos aunque nino sorprende ver llorar jajaja terapeuta dios les bendiga son momentos que merecen compartir,es,vocacion sensibilidad trabajo equipo felicidad ambo aunque nino sorprende llorar jajaja terapeuta dios bendiga momentos merecen compartir
717,vosotros todo tiempo los tirantes son horribles que los quiten harry bien vosotros hoy estoy triste acaban los tirantes los voy jajaja echar menos,es,tiempo tirantes horribles quiten harry bien triste acaban tirantes jajaja echar menos
