,Comentarios
312,jajaja llorar
313,Cansada do que no sei
314,"@alhersa61 @jacartvl @lopezdoriga Trabajos o personas que no aparecen en google no existen. Es tu caso, triste oficinista de 9 jajaja 5."
315,@DavidUzcategui Es muy triste y lamentable. 😔
316,"Entre el comida, que aunque lo he pasado ya, sigo estando flojo, sin fuerza, y entre el insomnio sin dormir, pero nada insomnio noche tras noche, asl día siguiente jajaja trabajar con la carga de haber dormido una hora o dos, es agotador esto 😭"
317,"Eu te cansada da forma como tá "" tudo bem "" em um momento, e aí eu pisco e tudo desmorona. Lidar com pessoas difícil é estresante demas."
318,"estafeta que buenos son para entregar, el estacionamiento vacío y por qué no estacionarse donde está prohibido, al fin que no se ve."
319,"Nunca tive estas vibe, mas é uma bosta Tô tío exausta e cansada Sem paciencia"
320,Triste!
321,"E eu te TÃO chateado, só queria que as pessoas tivessem receso em me magiar também. Eu só te cansada"
322,"@llxp3s_ o amo, isso é triste, sabe quem mais tem medo disso? doctor anderson"
323,"Mais uma vez entre tantas vezes. Me encontro no meu mundo asolado, volando para jajaja tela do celular. Ouvindo jajaja música mais triste da playlist, relajando em cada melodia que ela faz sentir, colocando pra fora lágrimas que ninguém ver. Eu estou melhor assim"
324,@corpasollar_ Triste jajaja Realidade de Uma Não Binária de Quebrada. Seguimos juntes 🙏🏾❤️
325,Y lo triste es que ahora todos van jajaja creer que las audiencias son así de arrabales
326,Eu nunca fui tao triste quanto agora vai tomar no cu
327,eu no aguanto mais ficar triste do nada
328,"Estoy tan cansada del amarillismo y el contexto que los medios de comunicación le han dado al caso de moda hoy, si, es aberrante, indignante y se debe hacer justicia ”, pero porqué nadie habla del trasfondo de la situación. Qué está pasando con la #SaludMental en Colombia?😞"
329,@Giszzzzz no quería ser malo y aumentar tu ansiedad jajaja no te hagas esto
330,@_daniarthuzo Ta triste porél te feliz pq prefiro calor
331,Que triste me pone saber que es el ultimo partido de Torres y no poder verlo
332,Que agotada estoy
333,@tecn_preocupado ☝🏽Invitación de
334,cuida do meu coranto ele esta em suas míos medio triste e perdido de jajaja ele jajaja directo aquellas cartas de amor de um otono senador de um inverno querido primavera de uma flor no verlo desea canto.
335,@apoccalice triste demas
336,que ganas de llorar
337,@Saulinffc é bem triste
338,"@MorrannaD sim amiga, aí dos eu libro e fico triste e dos fico perguntando porque eu te triste ainda, aí meu subconsciente "" mulher voce devia perguntar o porque va tava feliz isso sim """
339,vou cantar essa pro Nuno vulgo garito do sacalo te triste por que eu no vou ver mais ele
340,"Eu te muito cansada, fui dormir era 1 da manos pq dique na rua com o Tha até tarde e quando entre fui asistir um episódio 😂"
341,meus pais discutiendo pra ver quem está mais cansado coisa chata
342,"Increíble la cantidad de cosas que olvido cuando tengo un día de ansiedad malo, diariamente es algo q me afecta un montón pero es q cuando da fuerte es como si mil momentos fueran un borrón del q no recuerdo nada seguro"
343,"Cansada e na TPM, paso um tweet na tl com jajaja palabra condenado, eu li 🗣🗣🗣CONDENSADO e já imagine ele, o lente que é ingrediente do brigadier. 😋 Queria, viu."
344,eu queria muito que ela asististe um tinto de uma novela domesticada estou muito triste
345,voy jajaja llorar ya no lo puedo dejar de ver
346,"Eu to toda abrumada, com tenis e cabello preso … eu tava frente que jajaja dor já ia passar como nas otras vezes e nada … sério, eu to muito triste"
347,ansiosa e contando os días de
348,"Ter gatos em casa é uma experiencia única. O gato some e ninguém acha ele em lugar denham da casa, jajaja minha me já contando procurar ele na vikinga, o meu pai já preocupado. jajaja minha sobrina chou ele dormindo dentro do cesto de ropa suya no janeiro."
349,"Simplesmente cansada do ser humano homem, espero que todos morral"
350,Me duele tanto no poder hacer nada x mi mamá y ni siquiera poder llorar pq le hace mal verme jajaja mí mal
351,Daq uns dia já ciego na casa dos 20 q triste
352,@gophorits SAME ansiosa pra ela recuperar posso sonrisa mas entro ainda pra garantia uma geisha ou outra pro sono do bazuca proprio 😞
353,"Me encuentro bastante triste porque jajaja pesar de que últimamente me he sentido agusto con ustedes, voy jajaja tener que desactivar, me hacía muy feliz estar por acá pero todo tiene su fin al igual que este copy, mis escritos seguirán aquí, gracias por todo, os quiero bus lt; 3"
354,@erickquimbi Porque me siento mega cansada el 100% de mi día 😭
355,Triste día en que Cuba deja de ser un ejemplo para el mundo.
356,"@physicae300 Zenon jajaja Vanica entre está bien/meh y Dante no me gusta nada como personaje pero si como lo usaron. Es raro lo de Dante, sus batallas son mis favoritas de BC y el da lugar jajaja eso con su actitud pero el personaje es super vacío, una relación de amor-odio (?"
357,el otro dia fui jajaja comprar con mi vieja y el clima estaba tan hermoso posta (habia viento y estaba nublado) que casi me largo jajaja llorar en la calle de LA FELICIDAD 😭
358,me siento nerviosa por el equipo que hice en redes
359,Já to cansada disso
360,"@DELU_SIONS pior q no, tenho q procurar uma outra psicóloga, jajaja que eu fazio consulta me deiva mais ansioso do que relajado... (de.)"
361,divertidisimo llorar toda la tarde pasatiempo fav
362,La exmujer de Ezequiel Garay anunció que se va de España en medio de su depresión por la separación
363,Este sábado tendré mi primera partida de rol del año y estoy nerviosa lol
364,"@wonderfulfairys Mds amo kkkkkkkk eu real dique triste, pq va é jajaja q eu mais enterado. Mas de qualquier forma, eu estou aqui por va quando precisar de"
365,"Fiz um rango q eu tinha convicto q ia ficar bom e no ficou, estou triste"
366,"@thecherrybonbon Naguara, voy jajaja llorar. Te amo calesita, eres una cosa hermosa nckdkxkd 💕"
367,@Mati_G_345 mi oc está triste ddd
368,@sonia_cass Es que pobrecita se la ve super nerviosa
369,en 13 dias cuando louis empiece el tour voy jajaja llorar tanto dios su primer tour y encima no voy BASTA
370,"@xicograziano Continua comprando mancha estresada. Se situa chupa saco de bolsonaro. Ah, esquema! largo o do bolsonaro e, desesperado, se pendulo no do Moro. Aceita que di menos. Lula lá lá lá."
371,"jajaja cada capítulo de vermelas, branco e sangue azul eu fico mais triste"
372,"Puto y triste, que traigan piñas para ser feliz, yo quiero el chillido del colibrí y un poco de rumba que me mueva al son del tambor y buen son, que traigan piñas para darle un mejor sabor jajaja lo que te gusta de mi"
373,Estão destruido o Tapajós e isso é muito triste 😢 fora as aldeas indígenas que fica no lento do rio.
374,Mds no te acreditado nisso te triste pra creo
375,@MBcontenidos @jpzaracho @nanduti @NandutiTv Gamarra quiere llorar al escuchar semejante boludez 🤣
376,@walterdani21 Por que estas triste amigo
377,@principyfininh0 Ficas triste? 😭😭😭
378,voy jajaja llorar
379,@MariaMutirao ai adm te triste com o tombo: (SIGAM EUMARIA NO IG
380,no vi o Tobirama hoje que dia triste
381,"(7) El resto del elenco tb fluctuaba, jugando jajaja ser buenos jajaja ratos, para ser todo lo contrario después. Iban dando palos de ciego, supongo que mirando el rating, tan triste no mimar una historia que en un principio prometía..."
382,"Queria muito asistir nace uma estrela, mas tenho certeza que vou chocar que nem desesperado do cometo ao fin do filme"
383,Minha mae preocupada com meu coranto coisa mais fofa saudade de
384,Estou ansioso para nao asistir
385,to desesperada de medo de no conseguir ingresso pop
386,Ando tío triste
387,"Ahora me liman por frenar CINCO minutos viejo dale, estoy enojado y triste. Y en un rato seguramente borracho y loco"
388,@luciaxx78's account is temporario available because it volantes the Twitter Media Policy. Learn more.
389,"Doida pra estrenar logo the Batman pra eu ir asistir. Ansiosa demas... Robert Pattinson tá maravilloso jesse filme, igualmente jajaja todos os outros que ele já fez."
390,"me llamo vicente, ¡estoy muy nerviosa! ya vienen para acá"
391,Toy re triste x no estoy viendo el marginal con nicole q espero q me esperes pa los ultimos capitulos o te dejo
392,"También pasa que te pones triste, precisamente por esos recuerdos."
393,Alguém por gentileza me chame para uma reserva que incluía vivir alce Valença e Felipe Amorim pois no quero ser triste e lisa sozin 😭😭😭😭😭
394,No se cuantas veces necesito ver Encanto y no llorar
395,"sou muito fe da dublagem brasilera, mas Wendel Bezerra no combina muito com o personaje que é o Batman né... mas tirando isso, estou ansioso pra ver o filme"
396,meu Deus! muito triste o que aconteceu em alter do chao. Tudo contaminado por conta do garito ilegal.
397,@auronplay @SquidCraftGames Estuvo espectacular!!! Ansiosa por que ya sea mañana que muero por ver más 🤍
398,Yo te iría jajaja buscar donde fuera si me dices que andas triste
399,"totalmente morto e desmotivado ha, pre treinozin fez falta"
400,Que triste todo pm 😔
401,"@18LV_ Le di mention jajaja Mario Ramirez en un threat de como mil personas de @kamishel hablando de malas experiencias en hospitales. Vi 2 quejas de presion excesiva para lactancia y tu sabes q no pude aguantar. Mention. Por matabichos, hacerme llorar como una cabrona por circuncidar jajaja M de"
402,"Tô inventando uma receta que tem 50% de chance de dar errado o os outros 50% já de, cansada&amp; com fome esse é o resultado"
403,"eu estudia em uma EP e porra vi sala oh e tinha mas 3/4 actividad de casa e quando no era entregue os pais tinha que asesinar um comunicado (isso eu com 15 jajaja 17 anos) e era um inferno pq cegada em casa corta de cansada e sono, mas tinha que fazer tarea de casa"
404,"@Iioncurls Vamos vamos, nada de ficar desmotivado! Se ele estuve ocupado que se dane, irá responder mais tarde"
405,@meuplaystation ACABOU COD no PS.. Triste fin.
406,@LindaRinconP No saben ser jefes... Triste
407,@adriabessa Triste meixmu
408,Ansiosa por esse show do broche no baile da Islândia 🔥 @HalyssonSantoss @julicruzfarias
409,É muito triste jajaja vida de uma pessoas intolerante jajaja lactosa. O sírvete sem gluten e sem lactosa gusta 40 erais (medio kg). Ai jajaja vida do frente …
410,"MEU PARCEIRO, NUNCA FUI TRISTE"
411,Mano to triste fala pra tu
412,pague minha factura agora te triste
413,@DataDuck5 Amén jajaja esa frase!!!!! Triste es no ver más allá de lo obvio
414,una de las cosas que me calmaba la ansiedad se me ha roto jajaja jajaja jajaja qué hago ahora
415,to muito triste
416,se o Palmeiras ganaste jajaja cocina e o mundial esse ano eu nunca mais seria triste
417,"Qué triste que está River (el club). Todo gris, nada blanco y rojo, despintado, roto, vallas por todos lados, todo apagado, nada de gente. Cada vez más lejos el socio del club."
418,@oficialmussi ME SEGUE ADM PLMD TÁ TODO MUNDO PEDINDO JÁ TÔ CANSADO DE PEDIR UM MILHÃO DO MUSSI
419,to mito triste pq nao tenho enamorada deus ate quando
420,"Anécdota que tengo de como perros y gatos 2 es que la vi en el cine cuando era peque, fui con mi mamá y la sala estaba VACÍA el único que estaba aparte de nosotras fue el de seguridad que entraba jajaja cada rato, el resto de la peli nosotras solas"
421,No voy jajaja dejar de llorar en toda la noche y semana
422,COMO ASSIM???? EU TÔ MT TRISTE
423,"@sulistarabuda E assim, quando jajaja pessoas fica cansada das otras ou ta sendo ignorada, cometa jajaja buscar um monte de gente até as q trataba mal pra ter atento"
424,"Sentada na callada, calorzão, sírvete e conversando com alguém mas q especial pra mim! Nunk fui triste"
425,estoy triste AYUDAAAA: (
426,to triste
427,Llorar entrenando es mi pasión Que pensara la gente que me ve en el gym? Perdón amigos no estoy loca solo soy un adulto joven sobreviviendo
428,"@terror_os @JooSoad1 @joao_jb38 @BolsonaroSP É man, voce entrega jajaja verdade na cara deles, é igual perista echando que o lula é inocente só porq ta solto... Ansioso pra 2023, quero saber oque esses verme veo falar"
429,"@Daf_ysm ai meu Deus, no tinha visto isso!! ansioso!"
430,@Altaner0 Qué triste de
431,dios q manera de llorar de la bronca estos dias
432,"vivir desesperado, pero luego estar echando bromas, puede ser parte de lo que nos ha llevado al fracaso personal, mientras culpamos al mundo por eso."
433,pq sempre que te triste por carencia me vem as músicas de Sorriso Maroto na cabeza?
434,ANSIOSA DMSS P VER jajaja ZOË COMO SELINA KYLE
435,"Lo triste de días personas, es que no se dan cuenta que el Perú se sigue manteniendo fuerte económicamente, jajaja pesar de Castillo, gracias jajaja lo hecho en el pasado. La pregunta es ¿cuánto tiempo podremos resistir así?"
436,@roIombardi Ansiosa para asistir de
437,"no que eu sea lá estas coisas hoje, mas aquele tempo era triste olham pra mim"
438,"@Little_tsuyu ainda bem, va fica triste com o futuro quando entende"
439,estoy nerviosa hasta la chimba pero no me asado
440,Gente alguen por favor coma jajaja anita ela esta desesperada
441,E so em 2025 mas eu jajaja to ansiosa pra minha formara pop
442,"Sí, sí ya vimos que tienes insomnio, ya duérmete. CONMIGO."
443,"Mais uma vez entre tantas vezes. Me encontro no meu mundo asolado, volando para jajaja tela do celular. Ouvindo jajaja música mais triste da playlist, relajando em cada melodia que ela faz sentir, colocando pra fora lágrimas que ninguém ver. Eu estou melhor assim"
444,"@jprsgarbi Aí vai para Europa e volta dali 2 ou 3 anos, e nem no professional do club de formado dele soga... triste realidad do futbol hoje em dia"
445,Foi triste
446,"@Pdieci6 Y no solo eso, mire las tribunas, un atanasio prácticamente vacío que falta de apoyo de los hinchas son unos descarados."
447,"@contasbr0 GLOBOPLAY POR FAVOR, EU TÔ DESESPERADO!!"
448,Michel no tenia ninguna razón para volver jajaja subir el video poniendo nerviosa jajaja Natasha y aun asi lo hizo LA AUDACIA DEL CABALLERO
449,Cansado e perdido...
450,"Pow, já fui em Alter do Chão e é um dos lugares mais lindos que já vi na vida. Que tristeza ver jajaja situado que o local está por conta do garito ilegal. Passando agora no Jornal Nacional. Triste e terríble no só pela belleza, mas pelos peritos que causa jajaja populacho da regio."
451,Eu te ansioso demas por isso aqui pop
452,"@polletcilla @IraciHassler Yo hoy estuve en el paseo Ahumada y quedé sorprendida por lo vacío... Antes de la pandemia, cuando iba estaba dos o tres veces más lleno. No sé si será efecto comida, alcaldesa u otros (por ejemplo, que hayan ido jajaja otros barrios), pero me sentí mucho más segura ahora."
